Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
544137,Indus Infra Trust,Aadharshila Infratech Private Limited,Other,Acquisition,Preferential Offer,Any other instrument,25210084,2999999996.00,66450000,15.00,91660084,15.00,16 Jun 2026,16 Jun 2026,18 Jun 2026,NA
544248,Mach Travel Solutions Ltd,AMIT BHATIA,Promoter & Director,Acquisition,Market Purchase,Equity Shares,5400,780943.00,14072000,66.89,14077400,66.92,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
544248,Mach Travel Solutions Ltd,AMIT BHATIA,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1800,268172.00,14070200,66.88,14072000,66.89,18 Jun 2026,18 Jun 2026,22 Jun 2026,BSE
531869,Sacheta Metals Ltd,ANKIT SATISHKUMAR SHAH,Promoter Group,Acquisition,Market Purchase,Equity Shares,25625,99168.00,12756118,10.20,12781743,10.22,22 Jun 2026,22 Jun 2026,22 Jun 2026,BSE
526269,Crestchem Ltd,DIPAK NARENDRAPRASAD PATEL,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1000,141622.00,888039,29.60,889039,29.63,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
526829,Confidence Petroleum India Ltd,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,Promoter Group,Acquisition,Market Purchase,Equity Shares,1400000,98938000.00,11145698,3.35,12545698,3.77,19 Jun 2026,19 Jun 2026,23 Jun 2026,NSE
526829,Confidence Petroleum India Ltd,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,Promoter Group,Acquisition,Market Purchase,Equity Shares,1400000,98938000.00,11145698,3.35,12545698,3.77,19 Jun 2026,19 Jun 2026,23 Jun 2026,NSE
543241,Veer Global Infraconstruction Ltd,DEV VIJAY BHANSHALI,Promoter Group,Acquisition,Market Purchase,Equity Shares,3005,427822.00,340251,2.09,343256,2.11,16 Jun 2026,18 Jun 2026,19 Jun 2026,BSE
533014,Sicagen India Ltd,Twinshield Consultants Private Limited,Promoter Group,Acquisition,Off Market,Equity Shares,1545500,85002500.00,2059619,5.21,3605119,9.11,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
533014,Sicagen India Ltd,South India Travels Pvt. Ltd.,Promoter Group,Disposal,Off Market,Equity Shares,1545500,85002500.00,1940113,4.90,394613,1.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
