Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
531173,Syschem India Ltd,Bimal Virendra Shah,Promoter,Equity,3217644,6.53,Equity,1007500,37025625.00,Acquisition,-,4225144,7.88,07 Jul 2026,07 Jul 2026,08 Jul 2026,Allotment,,,,,,,BSE,08 Jul 2026
531173,Syschem India Ltd,Kalpana Virendra Shah,Promoter,Equity,1500000,3.04,Equity,1500000,55125000.00,Acquisition,-,3000000,5.21,07 Jul 2026,07 Jul 2026,08 Jul 2026,Allotment,,,,,,,BSE,08 Jul 2026
543925,Maple Infrastructure Trust,CDPQ Infrastructures Asia III Inc.,Other,Any other instrument,211302000,44.69,Any other instrument,177289950,0.00,Revoke,-,211302000,44.69,06 Jul 2026,06 Jul 2026,06 Jul 2026,,,,,,,,NA,08 Jul 2026
540550,Yug Decor Ltd,Chandresh Saraswat HUF,Promoter Group,Equity,875231,5.41,Equity,15525,393869.00,Acquisition,-,890756,5.50,07 Jul 2026,07 Jul 2026,08 Jul 2026,Market Purchase,,,,,,,BSE,08 Jul 2026
544442,Chemkart India Ltd,Jaini Shailesh Mehta,Promoter Group,Equity,4207,0.03,Equity,1200,203160.00,Acquisition,-,5407,0.04,06 Jul 2026,06 Jul 2026,07 Jul 2026,Market Purchase,,,,,,,BSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,VILAS DATTATRAYA GANDRE,Designated Person,Equity,6566,0.00,Equity,3684,513329.00,Acquisition,-,10250,0.00,29 Jun 2026,02 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,KUNAL V GANDRE,Immediate Relative,Equity,6566,0.00,Equity,8534,1202014.00,Acquisition,-,15100,0.00,30 Jun 2026,03 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,VIJAYASHREE VILAS GANDRE,Immediate Relative,Equity,6566,0.00,Equity,6000,838980.00,Acquisition,-,12566,0.00,01 Jul 2026,03 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,MILIND CHANDRAKANT GANDRE,Other,Equity,6566,0.00,Equity,18434,2561957.00,Acquisition,-,25000,0.01,30 Jun 2026,06 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,SUNITA MILIND GANDRE,Other,Equity,6566,0.00,Equity,13634,1880810.00,Acquisition,-,20200,0.01,30 Jun 2026,06 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,VILAS DATTATRAYA GANDRE HUF,Other,Equity,13132,0.00,Equity,19934,2780195.00,Acquisition,-,33066,0.01,30 Jun 2026,03 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,VIJAYASHREE VILAS GANDRE,Immediate Relative,Equity,0,0.00,Equity,3000,423420.00,Acquisition,-,3000,0.00,30 Jun 2026,02 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,08 Jul 2026
544799,Turtlemint Fintech Solutions Ltd,VILAS DATTATRAYA GANDRE,Designated Person,Equity,10250,0.00,Equity,3784,526695.00,Disposal,-,6466,0.00,03 Jul 2026,03 Jul 2026,06 Jul 2026,Market Sale,,,,,,,NSE,08 Jul 2026
500412,Thirumalai Chemicals Ltd,RAMYA BHARATHRAM,Promoter Group,Equity,395811,0.33,Equity,40000,7388000.00,Disposal,-,355811,0.30,03 Jul 2026,03 Jul 2026,06 Jul 2026,Inter-se-Transfer,,,,,,,NA,07 Jul 2026
500412,Thirumalai Chemicals Ltd,Uttara and Mukund Family Trust,Promoter Group,Equity,5067,0.00,Equity,40000,7388000.00,Acquisition,-,45067,0.04,03 Jul 2026,03 Jul 2026,06 Jul 2026,Inter-se-Transfer,,,,,,,NA,07 Jul 2026
543952,NIIT Learning Systems Ltd,Sapnesh Kumar Lalla,KMP,Equity,632052,0.46,Equity,120000,7616450.00,Acquisition,-,752052,0.55,03 Jul 2026,03 Jul 2026,06 Jul 2026,ESOP,,,,,,,NA,07 Jul 2026
543952,NIIT Learning Systems Ltd,Perunkolam Ramakrishnan Subramanian,Designated Person,Equity,45180,0.03,Equity,10000,2009000.00,Acquisition,-,55180,0.04,03 Jul 2026,03 Jul 2026,06 Jul 2026,ESOP,,,,,,,NA,07 Jul 2026
543372,Getalong Enterprise Ltd,Westpac Investments Ltd.,Promoter,Equity,8875000,41.94,Equity,5000,37800.00,Acquisition,-,8880000,41.97,07 Jul 2026,07 Jul 2026,07 Jul 2026,Market Purchase,,,,,,,BSE,07 Jul 2026
543372,Getalong Enterprise Ltd,Westpac Investments Ltd.,Promoter,Equity,8880000,41.97,Equity,235000,1776600.00,Acquisition,-,9115000,43.07,07 Jul 2026,07 Jul 2026,07 Jul 2026,Market Purchase,,,,,,,BSE,07 Jul 2026
542602,Embassy Office Parks REIT,Abraham Theverthundyil   Koshy,Designated Person,Any other instrument,0,0.00,Any other instrument,16905,0.00,Acquisition,-,16905,0.00,01 Jul 2026,01 Jul 2026,03 Jul 2026,ESOP,,,,,,,NA,07 Jul 2026
542602,Embassy Office Parks REIT,Embassy Office Parks REIT Employee Welfare Trust,Other,Any other instrument,952744,0.10,Any other instrument,16905,0.00,Disposal,-,935839,0.10,01 Jul 2026,01 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,07 Jul 2026
542602,Embassy Office Parks REIT,Embassy Office Parks REIT Employee Welfare Trust,Other,Any other instrument,952744,0.10,Any other instrument,16905,0.00,Disposal,-,935839,0.10,01 Jul 2026,01 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,07 Jul 2026
542602,Embassy Office Parks REIT,Abraham Theverthundyil   Koshy,Designated Person,Any other instrument,0,0.00,Any other instrument,16905,0.00,Acquisition,-,16905,0.00,01 Jul 2026,01 Jul 2026,03 Jul 2026,ESOP,,,,,,,NA,07 Jul 2026
530555,Paramount Communications Ltd-$,Sanjay Aggarwal,Promoter and Director,Warrant,14292013,4.68,Warrant,3600000,37800000.00,Acquisition,-,17892013,5.35,01 Jul 2026,01 Jul 2026,03 Jul 2026,Allotment,,,,,,,NA,07 Jul 2026
530555,Paramount Communications Ltd-$,Sandeep Aggarwal,Promoter and Director,Warrant,14230033,4.66,Warrant,3600000,37800000.00,Acquisition,-,17830033,5.33,01 Jul 2026,01 Jul 2026,03 Jul 2026,Allotment,,,,,,,NA,07 Jul 2026
542602,Embassy Office Parks REIT,Abraham Theverthundyil   Koshy,Designated Person,Any other instrument,0,0.00,Any other instrument,16905,0.00,Acquisition,-,16905,0.00,01 Jul 2026,01 Jul 2026,03 Jul 2026,ESOP,,,,,,,NA,07 Jul 2026
542602,Embassy Office Parks REIT,Embassy Office Parks REIT Employee Welfare Trust,Other,Any other instrument,952744,0.10,Any other instrument,16905,0.00,Disposal,-,935839,0.10,01 Jul 2026,01 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,07 Jul 2026
531996,Odyssey Corporation Ltd,Hemanshu Ramniklal Mehta,Promoter and Director,Equity,10120,0.01,Equity,475000,4987500.00,Acquisition,-,485120,0.54,02 May 2026,02 May 2026,07 Jul 2026,Conversion of security,,,,,,,BSE,07 Jul 2026
531996,Odyssey Corporation Ltd,Pooja Equiresearch Private Limited,Promoter Group,Equity,5100000,6.25,Equity,6900000,72450000.00,Acquisition,-,12000000,13.41,02 May 2026,02 May 2026,07 Jul 2026,Conversion of security,,,,,,,BSE,07 Jul 2026
531996,Odyssey Corporation Ltd,Beena Himanshu Mehta,Promoter,Equity,200000,0.24,Equity,475000,4987500.00,Acquisition,-,675000,0.75,02 May 2026,02 May 2026,07 Jul 2026,Conversion of security,,,,,,,BSE,07 Jul 2026
544214,Three M Paper Boards Ltd,RUSHABH HITENDRA SHAH,Promoter and Director,Equity,1459000,7.58,Equity,2000,53580.00,Acquisition,-,1461000,7.59,06 Jul 2026,06 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Northvale Capital Partners Private Limited,Promoter,Equity,90000,0.03,Equity,41296435,412964350.00,Acquisition,-,41386435,15.30,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,HCMI S  Private Limited,Promoter Group,Equity,0,0.00,Equity,28247208,282472080.00,Acquisition,-,28247208,10.44,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Norfolk Resources Private Limited,Promoter Group,Equity,0,0.00,Equity,29092756,290927560.00,Acquisition,-,29092756,10.75,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Norfolk Technologies Private Limited,Promoter Group,Equity,0,0.00,Equity,25684065,256840650.00,Acquisition,-,25684065,9.49,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Yung Kug Kim,Promoter Group,Equity,0,0.00,Equity,38250520,382505200.00,Acquisition,-,38250520,14.14,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Woo Yeol Cho,Promoter Group,Equity,0,0.00,Equity,18543129,185431290.00,Acquisition,-,18543129,6.85,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Jung Min An,Promoter Group,Equity,0,0.00,Equity,18249099,182490990.00,Acquisition,-,18249099,6.75,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Sangjoon Lee,Other,Equity,0,0.00,Equity,3771086,37710860.00,Acquisition,-,3771086,1.39,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Dong Su Kim,Other,Equity,0,0.00,Equity,3771086,37710860.00,Acquisition,-,3771086,1.39,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,The Yaar Association,Other,Equity,0,0.00,Equity,39960492,399604920.00,Acquisition,-,39960492,14.77,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,G-Knot,Other,Equity,0,0.00,Equity,13320164,133201640.00,Acquisition,-,13320164,4.92,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Ben Alan Murphey,Other,Equity,0,0.00,Equity,1685772,16857720.00,Acquisition,-,1685772,0.62,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Limbaugh Capital LLC,Other,Equity,0,0.00,Equity,843007,8430070.00,Acquisition,-,843007,0.31,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Rajendra Raojibhai Patel,Other,Equity,0,0.00,Equity,2998138,29981380.00,Acquisition,-,2998138,1.11,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Narinder Pal Yadav,Other,Equity,0,0.00,Equity,843007,8430070.00,Acquisition,-,843007,0.31,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Kartik Rajnikant Patel,Other,Equity,0,0.00,Equity,849178,8491780.00,Acquisition,-,849178,0.31,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
504375,IDream Film Infrastructure Company Ltd,Jayni Edge Wholesaler LLC,Other,Equity,0,0.00,Equity,2998138,29981380.00,Acquisition,-,2998138,1.11,01 Jul 2026,01 Jul 2026,02 Jul 2026,Preferential Offer,,,,,,,BSE,07 Jul 2026
532738,Twamev Construction And Infrastructure Ltd,Upendra Singh Constructions Private Limited,Promoter Group,Equity,18765717,12.11,Equity,1652777,0.00,Disposal,-,17112940,11.04,10 Jun 2026,30 Jun 2026,06 Jul 2026,Market Sale,,,,,,,NSE,07 Jul 2026
526325,Orient Press Ltd,VARUN NAVEEN MAHESHWARI,Promoter Group,Equity,12594,0.13,Equity,6001,395223.00,Acquisition,-,18595,0.19,17 Jun 2026,17 Jun 2026,19 Jun 2026,Market Purchase,,,,,,,NSE,07 Jul 2026
500114,Titan Company Ltd,Titan Employee Stock Option Trust,Connected Person,Equity,473825,0.05,Equity,35478,158872258.00,Disposal,-,438347,0.05,03 Jul 2026,03 Jul 2026,06 Jul 2026,Off Market,,,,,,,NA,07 Jul 2026
526325,Orient Press Ltd,JUHI PRAKASH MAHESHWARI,Promoter Group,Equity,20664,0.21,Equity,4573,324500.00,Acquisition,-,25237,0.25,29 Jun 2026,29 Jun 2026,01 Jul 2026,Market Purchase,,,,,,,NSE,07 Jul 2026
544662,Simandhar Impex Ltd,Chandraprakash Prakash Wadhwani,Promoter and Director,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
544662,Simandhar Impex Ltd,Gaurav Patel,Director,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
544662,Simandhar Impex Ltd,Manish Tarachand Pande,Director,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
544662,Simandhar Impex Ltd,Neha Hardeepsingh Narang,Director,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
544662,Simandhar Impex Ltd,Lalit Naresh Nagdev,KMP,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
544662,Simandhar Impex Ltd,Amit Suresh Ninawe,KMP,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
544662,Simandhar Impex Ltd,Ankita Wamanrao Hande,KMP,Equity,0,0.00,Equity,0,0.00,Acquisition,-,0,0.00,30 Jun 2026,30 Jun 2026,06 Jul 2026,Others,,,,,,,BSE,07 Jul 2026
532726,Gallantt Ispat Ltd,Atul Kumar Gupta,Director,Equity,4398,0.00,Equity,38,27620.00,Acquisition,-,4436,0.00,17 Jun 2026,30 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Atul Kumar Gupta,Director,Equity,4436,0.00,Equity,1400,993890.00,Acquisition,-,5836,0.00,17 Jun 2026,30 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Usha Gupta,Directors Immediate Relative,Equity,2478,0.00,Equity,120,88045.00,Acquisition,-,2598,0.00,18 Jun 2026,30 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Usha Gupta,Directors Immediate Relative,Equity,2598,0.00,Equity,2155,1524059.00,Acquisition,-,4753,0.00,18 Jun 2026,30 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Radhika Krishna,Directors Immediate Relative,Equity,8840,0.00,Equity,550,334078.00,Acquisition,-,9390,0.00,17 Jun 2026,30 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Radhika Krishna,Directors Immediate Relative,Equity,9390,0.00,Equity,600,410834.00,Acquisition,-,9990,0.00,17 Jun 2026,30 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Anshuman Krishna,Directors Immediate Relative,Equity,0,0.00,Equity,2986,2101579.00,Acquisition,-,2986,0.00,17 Jun 2026,29 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Nandita Chauhan,Directors Immediate Relative,Equity,0,0.00,Equity,1325,975951.00,Acquisition,-,1325,0.00,18 Jun 2026,24 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
532726,Gallantt Ispat Ltd,Deepak Agarwal,Directors Immediate Relative,Equity,950,0.00,Equity,250,179150.00,Acquisition,-,1200,0.00,17 Jun 2026,25 Jun 2026,06 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity,1025286,0.06,Equity,333,193355.00,Disposal,-,1024953,0.06,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Sale,,,,,,,NSE,06 Jul 2026
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity,1024953,0.06,Equity,401,4010.00,Disposal,-,1024552,0.06,30 Jun 2026,30 Jun 2026,02 Jul 2026,ESOP,,,,,,,NA,06 Jul 2026
543411,Hi-Tech Pipes Ltd,Gaurav Goyal HUF,Other,Equity,834535,0.41,Equity,662249,58717358.00,Disposal,-,172286,0.08,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Sale,,,,,,,NSE,06 Jul 2026
543411,Hi-Tech Pipes Ltd,Gaurav Goyal HUF,Other,Equity,834535,0.41,Equity,662249,58717358.00,Disposal,-,172286,0.08,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Sale,,,,,,,NSE,06 Jul 2026
539335,Callista Industries Ltd,Binita Jayantilal Parmar,Promoter Group,Warrant,0,0.00,Warrant,1525000,3812500.00,Acquisition,-,1525000,0.00,03 Jul 2026,03 Jul 2026,06 Jul 2026,Preferential Offer,,,,,,,NA,06 Jul 2026
539335,Callista Industries Ltd,Jayantilal Keshavbhai Parmar,Promoter Group,Warrant,0,0.00,Warrant,1525000,3812500.00,Acquisition,-,1525000,0.00,02 Jul 2026,02 Jul 2026,06 Jul 2026,Preferential Offer,,,,,,,NA,06 Jul 2026
544441,Meta Infotech Ltd,Venu Gopal Peruri,Promoter and Director,Equity,13205921,69.94,Equity,16800,1256808.00,Acquisition,-,13222721,70.03,03 Jul 2026,03 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,06 Jul 2026
544441,Meta Infotech Ltd,Venu Gopal Peruri,Promoter and Director,Equity,13222721,70.03,Equity,16800,1287384.00,Acquisition,-,13239521,70.12,06 Jul 2026,06 Jul 2026,06 Jul 2026,Market Purchase,,,,,,,BSE,06 Jul 2026
532894,Indowind Energy Ltd,INDUS CAPITAL PRIVATE LIMITED,Promoter Group,Equity,14494530,9.00,Equity,2278711,21182897.00,Acquisition,-,16773241,10.46,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Purchase,,,,,,,NSE,06 Jul 2026
532894,Indowind Energy Ltd,INDUS CAPITAL PRIVATE LIMITED,Promoter Group,Equity,14494530,9.00,Equity,71318,663207.00,Acquisition,-,14565848,10.46,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Purchase,,,,,,,BSE,06 Jul 2026
532894,Indowind Energy Ltd,INDUS FINANCE LIMITED,Promoter,Equity,2331765,1.45,Equity,2000000,18341017.00,Disposal,-,331765,0.21,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Sale,,,,,,,NSE,06 Jul 2026
521216,Dhanalaxmi Roto Spinners Ltd,Keshav Inani,Promoter,Equity,285550,3.66,Equity,157786,0.00,Acquisition,-,443336,5.68,30 Jun 2026,30 Jun 2026,02 Jul 2026,Others,,,,,,,NA,04 Jul 2026
502180,Shree Digvijay Cement Company Ltd-$,Samader Singh,Designated Person,Equity,26000,0.02,Equity,10000,160000.00,Acquisition,-,36000,0.03,30 Jun 2026,30 Jun 2026,02 Jul 2026,ESOP,,,,,,,NA,04 Jul 2026
502180,Shree Digvijay Cement Company Ltd-$,Jayesh Sodha,Designated Person,Equity,75000,0.06,Equity,25000,400000.00,Acquisition,-,100000,0.07,30 Jun 2026,30 Jun 2026,02 Jul 2026,ESOP,,,,,,,NA,04 Jul 2026
502180,Shree Digvijay Cement Company Ltd-$,Avind Gupta,Designated Person,Equity,37620,0.03,Equity,10000,160000.00,Acquisition,-,47620,0.03,30 Jun 2026,30 Jun 2026,02 Jul 2026,ESOP,,,,,,,NA,04 Jul 2026
532780,Parsvnath Developers Ltd,PRADEEP  KUMAR JAIN,Promoter,Equity,29976167,6.89,Equity,196025,531228.00,Invoke,-,29780142,6.84,30 Jun 2026,30 Jun 2026,02 Jul 2026,Invocation of pledge,,,,,,,NA,04 Jul 2026
523850,Axtel Industries Ltd,MEENA PATHAK,Directors Immediate Relative,Equity,1037568,6.42,Equity,1207,535123.00,Disposal,-,1036361,6.42,30 Jun 2026,30 Jun 2026,01 Jul 2026,Market Sale,,,,,,,BSE,04 Jul 2026
544677,Defrail Technologies Ltd,Vivek Aggarwal,Promoter and Director,Equity,49700,0.70,Equity,3200,233376.00,Acquisition,-,52900,0.75,02 Jul 2026,02 Jul 2026,03 Jul 2026,Market Purchase,,,,,,,BSE,04 Jul 2026
539598,AMPL Capital Ltd,DP Global Wealth Management LLP,Other,Equity,5505818,8.96,Equity,5008335,150102955.00,Acquisition,-,10514153,17.11,29 Jun 2026,30 Jun 2026,01 Jul 2026,Market Purchase,,,,,,,BSE,03 Jul 2026
526721,Nicco Parks & Resorts Ltd-$,NICCO ENGINEERING SERVICES LIMITED,Promoter Group,Equity,4986448,10.65,Equity,10986,895277.00,Acquisition,-,4997434,10.68,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Purchase,,,,,,,BSE,03 Jul 2026
526721,Nicco Parks & Resorts Ltd-$,NICCO ENGINEERING SERVICES LIMITED,Promoter Group,Equity,4967247,10.61,Equity,19201,1472990.00,Acquisition,-,4986448,10.65,16 Jun 2026,29 Jun 2026,01 Jul 2026,Market Purchase,,,,,,,BSE,03 Jul 2026
512025,Asgard Alcobev Ltd,Ronak Jain,Promoter and Director,Equity,118973483,38.18,Equity,5000000,5000000.00,,-,118973483,38.18,01 Jul 2026,03 Jul 2026,03 Jul 2026,Pledge Creation,,,,,,,BSE,03 Jul 2026
526891,Market Creators Ltd,KALPESH J SHAH,Promoter,Equity,91470,0.87,Equity,2119491,0.00,Acquisition,-,2210961,21.06,01 Jul 2026,01 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
526891,Market Creators Ltd,BINA RASHMIKANT ACHARYA,Promoter Immediate Relative,Equity,0,0.00,Equity,1340000,0.00,Acquisition,-,1340000,12.76,01 Jul 2026,01 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
540642,Salasar Techno Engineering Ltd,Alok Kumar,Promoter and Director,Equity,7684872,0.44,Equity,349601,2097606.00,Disposal,-,7335271,0.42,30 Jun 2026,30 Jun 2026,01 Jul 2026,Market Sale,,,,,,,NSE,03 Jul 2026
540642,Salasar Techno Engineering Ltd,Shikhar Fabtech Private Limited,Promoter Group,Equity,55169120,3.16,Equity,9952283,59713698.00,Disposal,-,45216837,2.59,30 Jun 2026,30 Jun 2026,01 Jul 2026,Market Sale,,,,,,,NSE,03 Jul 2026
540642,Salasar Techno Engineering Ltd,Base Engineering LLP,Promoter Group,Equity,74575,0.00,Equity,74575,453416.00,Disposal,-,0,0.00,29 Jun 2026,29 Jun 2026,01 Jul 2026,Market Sale,,,,,,,NSE,03 Jul 2026
543936,Senco Gold Ltd,Jai Hanuman Shri Siddhivinayak Trust Trustee- Mr. Suvankar Sen & Mrs. Joita Sen ,Promoter,Equity,67973586,41.49,Equity,8920,2987130.00,Acquisition,-,67982506,41.49,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Purchase,,,,,,,NSE,03 Jul 2026
543264,Nureca Ltd,Saurabh Goyal,Promoter,Equity,3278056,34.35,Equity,3219113,0.00,Acquisition,-,6497169,68.09,02 Jul 2026,02 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
543264,Nureca Ltd,Aryan Goyal,Promoter Group,Equity,1159185,12.15,Equity,1159185,0.00,Disposal,-,0,0.00,02 Jul 2026,02 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
543264,Nureca Ltd,Payal Goyal,Promoter Group,Equity,2059928,21.59,Equity,2059928,0.00,Disposal,-,0,0.00,02 Jul 2026,02 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
543264,Nureca Ltd,Saurabh Goyal,Promoter,Equity,3278056,34.35,Equity,3219113,0.00,Acquisition,-,6497169,68.09,02 Jul 2026,02 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
543264,Nureca Ltd,Aryan Goyal,Promoter Group,Equity,1159185,12.15,Equity,1159185,0.00,Disposal,-,0,0.00,02 Jul 2026,02 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
543264,Nureca Ltd,Payal Goyal,Promoter Group,Equity,2059928,21.59,Equity,2059928,0.00,Disposal,-,0,0.00,02 Jul 2026,02 Jul 2026,03 Jul 2026,Off Market,,,,,,,NA,03 Jul 2026
517544,Centum Electronics Ltd,Vinod Srinivasrao Chippalkatti,Designated Person,Equity,14511,0.10,Equity,202,773458.00,Disposal,-,14309,0.10,30 Jun 2026,30 Jun 2026,02 Jul 2026,Market Sale,,,,,,,BSE,03 Jul 2026
543982,Quest Flow Controls Ltd,INDIA FUTURISTIC MARINE PRIVATE LIMITED,Promoter,Equity,3335792,32.52,Equity,461593,57699125.00,Disposal,-,2874199,28.20,30 Jun 2026,30 Jun 2026,01 Jul 2026,Off Market,,,,,,,BSE,03 Jul 2026
544214,Three M Paper Boards Ltd,RUSHABH HITENDRA SHAH,Promoter and Director,Equity,1457000,7.57,Equity,2000,52000.00,Acquisition,-,1459000,7.58,03 Jul 2026,03 Jul 2026,03 Jul 2026,Market Purchase,,,,,,,BSE,03 Jul 2026
