Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
540678,Cochin Shipyard Ltd,President of India acting through the Ministry of Ports Shipping and Waterways Government of India,Promoter,Equity,178671239,67.91,Equity,12049170,17132754601.00,Disposal,-,166622069,63.33,07 Jul 2026,08 Jul 2026,09 Jul 2026,Market Sale,,,,,,,NA,10 Jul 2026
543248,Restaurant Brands Asia Ltd,Lenexis Foodworks Private Limited,Promoter,Equity,231610152,32.55,Equity,65622791,4593595370.00,Acquisition,-,297232943,41.78,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,10 Jul 2026
543248,Restaurant Brands Asia Ltd,Aayush Agrawal Trust,Promoter,Equity,100,0.00,Equity,100,7000.00,Acquisition,-,200,0.00,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,10 Jul 2026
543248,Restaurant Brands Asia Ltd,Inspira Foodworks Private Limited,Promoter,Equity,100,0.00,Equity,100,7000.00,Acquisition,-,200,0.00,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,10 Jul 2026
543248,Restaurant Brands Asia Ltd,Aayush Madhusudan Agrawal,Promoter,Equity,100,0.00,Equity,100,7000.00,Acquisition,-,200,0.00,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,10 Jul 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2095743,2.22,Equity,15000,6127500.00,Disposal,-,2080743,2.21,08 Jul 2026,08 Jul 2026,09 Jul 2026,Off Market,,,,,,,NA,10 Jul 2026
505509,Responsive Industries Ltd,Fairpoint Tradecom LLP,Promoter Group,Equity,24650000,9.25,Equity,174000,36783600.00,Revoke,-,24650000,9.25,07 Jul 2026,07 Jul 2026,09 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
505509,Responsive Industries Ltd,Fairpoint Tradecom LLP,Promoter Group,Equity,24650000,9.25,Equity,174000,36783600.00,Revoke,-,24650000,9.25,07 Jul 2026,07 Jul 2026,09 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
505509,Responsive Industries Ltd,Fairpoint Tradecom LLP,Promoter Group,Equity,24650000,9.25,Equity,174000,36783600.00,Revoke,-,24650000,9.25,07 Jul 2026,07 Jul 2026,09 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
531599,FDC Ltd,NANDAN MOHAN CHANDAVARKAR,Promoter,Equity,5041086,3.10,Equity,5030086,0.00,Disposal,-,11000,0.01,24 Jun 2026,24 Jun 2026,24 Jun 2026,Inter-se-Transfer,,,,,,,NA,09 Jul 2026
